# bjd S e_S Halpha e_Halpha HeI e_HeI NaID1D2 e_NaID1D2 BIS e_BIS FWHM e_FWHM CONTRAST
2.458851530965595972e+06 1.786777692841658438e-01 9.759365698003844708e-03 2.205315406356755659e-01 2.592229646333876866e-04 1.018087093990917236e+00 1.885280649139888315e-05 4.414602519687318427e-01 9.534504672379984008e-05 -1.349999999999999985e-02 5.100000000000000366e-03 8.884426994845501468e+00 7.039711191335739499e-03 6.800000000000000488e-01
2.458852530844944064e+06 1.793667804475091165e-01 9.783161787061959297e-03 2.208970724944824271e-01 2.490873899774670355e-04 1.009239486835997957e+00 1.836059617296954621e-05 4.557902883842138153e-01 8.972779187816158468e-05 -1.080000000000000057e-02 5.100000000000000366e-03 8.877612171294634535e+00 6.951871657754010204e-03 6.800000000000000488e-01
